family,family_label,split,task,task_label,axis,axis_label,train_config,variant,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_fixed,fixed_train,50,3,450,3,1,0,0.0,0.0,150,0.3333333333333333,33.33333333333333,450,1.0,100.0,450,1.0,100.0,0.01185017948349317,0.01185017948349317,0.0035189857262352704,0.003982107218380113,0.3263746500015259,0.3263746500015259,0.026428914772772913,0.029907132474562236,400.0,400.0,0.0,0.0,1.185017948349317,32.63746500015259
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_fixed,fixed_train,100,1,150,1,1,0,0.0,0.0,150,1.0,100.0,150,1.0,100.0,150,1.0,100.0,0.00984689500182867,0.00984689500182867,0.0,0.0,0.3387063145637512,0.3387063145637512,0.0,0.0,400.0,400.0,0.0,0.0,0.984689500182867,33.87063145637512
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_fixed,fixed_train,200,1,150,1,1,0,0.0,0.0,150,1.0,100.0,150,1.0,100.0,150,1.0,100.0,0.006921463180333376,0.006921463180333376,0.0,0.0,0.3301149308681488,0.3301149308681488,0.0,0.0,400.0,400.0,0.0,0.0,0.6921463180333376,33.01149308681488
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_multi_pose,diverse_train,5,3,450,3,1,62,0.13777777777777778,13.777777777777779,160,0.35555555555555557,35.55555555555556,351,0.78,78.0,450,1.0,100.0,0.014145858281473111,0.014145858281473113,0.006246477835908588,0.007068555093695755,0.3092228672690948,0.3092228672690948,0.01808211611535578,0.02046184062916871,399.34,399.34,1.1431535329954694,1.2936000000000119,1.4145858281473112,30.92228672690948
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_multi_pose,diverse_train,20,3,450,3,1,10,0.022222222222222223,2.2222222222222223,86,0.19111111111111112,19.11111111111111,366,0.8133333333333334,81.33333333333333,450,1.0,100.0,0.015031836986438268,0.01503183698643827,0.0032257403471195128,0.0036502688331807634,0.32029418998294407,0.32029418998294407,0.017005843428371532,0.01924392343108719,400.0,400.0,0.0,0.0,1.5031836986438267,32.0294189982944
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_multi_pose,diverse_train,50,3,450,3,1,4,0.008888888888888889,0.8888888888888888,138,0.30666666666666664,30.666666666666664,439,0.9755555555555555,97.55555555555556,450,1.0,100.0,0.01250530164430125,0.012505301644301248,0.003565177551540477,0.004034378189417783,0.33826616022321915,0.3382661602232191,0.0054650300972212285,0.006184263731609763,400.0,400.0,0.0,0.0,1.250530164430125,33.826616022321915
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_multi_pose,diverse_train,100,1,150,1,1,0,0.0,0.0,83,0.5533333333333333,55.333333333333336,150,1.0,100.0,150,1.0,100.0,0.009827889688313007,0.009827889688313007,0.0,0.0,0.34217684745788574,0.34217684745788574,0.0,0.0,400.0,400.0,0.0,0.0,0.9827889688313006,34.217684745788574
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_multi_pose,diverse_train,200,1,150,1,1,129,0.86,86.0,150,1.0,100.0,150,1.0,100.0,150,1.0,100.0,0.003998368905546765,0.003998368905546765,0.0,0.0,0.32890322449306647,0.32890322449306647,0.0,0.0,400.0,400.0,0.0,0.0,0.39983689055467647,32.890322449306645
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,color,Color,color_multi,diverse_train,5,3,450,3,1,115,0.25555555555555554,25.555555555555554,336,0.7466666666666667,74.66666666666667,450,1.0,100.0,450,1.0,100.0,0.008296103256030215,0.008296103256030215,0.004626853995974632,0.0052357781841510164,0.31580389625496336,0.31580389625496336,0.014933271921319068,0.01689858798476467,400.0,400.0,0.0,0.0,0.8296103256030215,31.580389625496334
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,color,Color,color_multi,diverse_train,20,3,450,3,1,0,0.0,0.0,150,0.3333333333333333,33.33333333333333,450,1.0,100.0,450,1.0,100.0,0.01094854656399952,0.010948546563999519,0.0030156560734521396,0.0034125360977502084,0.33416277666886646,0.33416277666886646,0.036229603354379594,0.040997655648597475,400.0,400.0,0.0,0.0,1.0948546563999522,33.41627766688664
