metrics_path,split,train_config,task,axis,variant,budget,seed,eval_config,rollout_count,success_rate_at_0p5cm,success_rate_at_1cm,success_rate_at_2cm,success_rate_at_5cm,mean_best_distance,mean_final_distance,mean_steps,mean_success_steps
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__color_red_only__budget050__seed000__eval_color_red_only.json,id,color_red_only,reach,color,fixed_train,50,0,color_red_only,150,1.0,1.0,1.0,1.0,0.0009739762754179537,0.0009739762754179537,125.0,79.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_lighting_diverse__budget020__seed002__eval_avoid_lighting_diverse.json,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,20,2,avoid_lighting_diverse,150,0.0,0.0,1.0,1.0,0.014743647066255411,0.5616913906733195,400.0,142.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__camera_multi_pose__budget020__seed001__eval_camera_multi_pose.json,id,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,20,1,camera_multi_pose,150,0.0,1.0,1.0,1.0,0.009698718897998332,0.21648160606622696,400.0,78.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_color_red_only__budget005__seed001__eval_avoid_color_red_only.json,id,avoid_color_red_only,avoid_reach,color,fixed_train,5,1,avoid_color_red_only,150,0.0,0.0,1.0,1.0,0.019668705761432648,0.5130672454833984,400.0,150.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__camera_fixed__budget050__seed000__eval_camera_fixed.json,id,camera_fixed,reach,camera_location_viewpoint,fixed_train,50,0,camera_fixed,150,1.0,1.0,1.0,1.0,0.0012446660548448563,0.02286805957555771,400.0,79.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__lighting_diverse__budget020__seed002__eval_lighting_diverse.json,id,lighting_diverse,reach,lighting_direction_intensity,diverse_train,20,2,lighting_diverse,150,0.0,0.0,1.0,1.0,0.012311485192428032,0.07244539498041073,400.0,77.68666666666667
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget005__seed001__eval_avoid_camera_fixed.json,id,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,5,1,avoid_camera_fixed,150,0.0,0.0,1.0,1.0,0.018956279382109642,0.5464298725128174,400.0,146.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__color_multi__budget005__seed000__eval_color_multi.json,id,color_multi,reach,color,diverse_train,5,0,color_multi,150,1.0,1.0,1.0,1.0,0.004229994670798381,0.2366793026526769,400.0,78.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__lighting_fixed__budget020__seed001__eval_lighting_fixed.json,id,lighting_fixed,reach,lighting_direction_intensity,fixed_train,20,1,lighting_fixed,150,0.0,0.0,1.0,1.0,0.011165112257003784,0.20498676598072052,400.0,78.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_lighting_diverse__budget020__seed000__eval_avoid_lighting_diverse.json,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,20,0,avoid_lighting_diverse,150,0.0,0.0,0.0,1.0,0.022835640236735344,1.0689254450798034,400.0,128.98
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_lighting_diverse__budget005__seed001__eval_avoid_lighting_diverse.json,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,1,avoid_lighting_diverse,150,0.0,0.0,0.0,1.0,0.02690404896934827,0.51615669409434,400.0,149.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__spatial_narrow__budget020__seed000__eval_spatial_narrow.json,id,spatial_narrow,reach,spatial_distribution,narrow_train,20,0,spatial_narrow,150,0.02666666666666667,0.06666666666666667,0.18666666666666668,0.48,0.05871141510045466,0.16751373550039717,398.0933333333333,87.01388888888889
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_multi_pose__budget005__seed002__eval_avoid_camera_multi_pose.json,id,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,5,2,avoid_camera_multi_pose,150,0.0,0.0,0.0,1.0,0.036254221200942995,0.5164897747834524,400.0,142.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__color_red_only__budget020__seed001__eval_color_red_only.json,id,color_red_only,reach,color,fixed_train,20,1,color_red_only,150,0.0,1.0,1.0,1.0,0.007402104791253805,0.16592617332935333,400.0,78.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__camera_multi_pose__budget020__seed002__eval_camera_multi_pose.json,id,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,20,2,camera_multi_pose,150,0.0,0.06666666666666667,1.0,1.0,0.010653908848762512,0.025450930409133436,400.0,77.94666666666667
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_color_red_only__budget020__seed001__eval_avoid_color_red_only.json,id,avoid_color_red_only,avoid_reach,color,fixed_train,20,1,avoid_color_red_only,150,0.0,0.0,1.0,1.0,0.014517686329782009,1.0530387163162231,400.0,123.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__camera_multi_pose__budget050__seed000__eval_camera_multi_pose.json,id,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,50,0,camera_multi_pose,150,1.0,1.0,1.0,1.0,0.004283860800787806,0.022720522445937,400.0,79.0
results/bc_128px_v1/metrics/id/metrics__scratch_bc_128__avoid_camera_fixed__budget050__seed000__eval_avoid_camera_fixed.json,id,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,50,0,avoid_camera_fixed,150,0.0,0.0,1.0,1.0,0.018098032101988792,0.9148772358894348,400.0,147.0
